,correct_sentences,mis_pro_word,actual_word
0,The bear was grazing in the meadow,bare,bear
1,The blue sky was dotted with clouds,blew,blue
2,The boar charged at the hunters,bore,boar
3,The bow was strung and ready to fire,bough,bow
4,The class was canceled due to bad weather,clause,class
5,The deer leaped over the fence,dear,deer
6,The fair was held in the town square,fare,fair
7,The hair was pulled back into a ponytail,hare,hair
8,The knight wore a suit of armor,night,knight
9,The maid cleaned the room,made,maid
10,The pair of shoes was on sale,pear,pair
11,The sail was billowing in the wind,sale,sail
12,The stairs led up to the tower,stares,stairs
13,The tear in her dress was barely noticeable,tier,tear
14,The waist of her dress was cinched tightly,waste,waist
15,He left his hat on the bed,hate,hat
16,The new book is on the shelf,knew,new
17,She saw a ghost in the attic,seen,scene
18,The bank is by the river,barn,bank
19,The ship will sail at noon,cell,sail
20,I bought a loaf of bread,bought,brought
21,They're going to the park,their,they're
22,We're going on a trip,wear,we're
23,The flower is in full bloom,flour,flower
24,The horse runs in the field,hoarse,horse
25,She wore a beautiful gown,grown,gown
26,I can't find my keys,can,can't
27,The plane will land soon,plain,plane
28,Please pass me the peas,peace,peas
29,It's time to eat lunch,it's,its
30,I ate too much at lunch,ate,eight
31,The bird sang a sweet song,burred,bird
32,She wore a ring on her finger,worn,ring
33,He is the heir to the throne,air,heir
34,The rock is very hard,rock,wok
35,The fish swam in the sea,wish,fish
36,The band played a great song,banned,band
37,She's the best singer,she's,seas
38,He's a very strong man,he's,his
39,The wind will blow the leaves,winded,wind
40,The cake has a sweet taste,cake,cane
41,We'll see the doctor soon,we'll,wheel
42,The cat will chase the mouse,kat,cat
43,The ship will dock at the pier,ship,peer
44,The plane will take off,plain,plane
45,The deer is very dear to me,deer,dear
46,The hare ran through the field,hair,hare
47,The knight fought valiantly,night,knight
48,The mayor addressed the crowd,mare,mayor
49,The sun will set in the west,son,sun
50,I can't bear the pain,bare,bear
51,The right answer is here,write,right
52,The toad jumped into the pond,towed,toad
53,The bread is on the shelf,bred,bread
54,She wore a lovely dress,worn,dress
55,The ring is made of gold,ring,wring
56,We will meet at the station,meat,meet
57,The bell rang loudly,belle,bell
58,The hare is fast,hair,hare
59,The knight is brave,night,knight
60,The maid cleaned the house,made,maid
61,The pair of socks is warm,pare,pair
62,The cell has no signal,sell,cell
63,The stairs led to the basement,stares,stairs
64,The deer is very agile,dear,deer
65,She found a tear in her shirt,tier,tear
66,The waist of the pants is tight,waste,waist
67,The weather is warm today,whether,weather
68,He broke the vase,he,vase
69,The flower is beautiful,flour,flower
70,They're going to the store,their,they're
71,We're having a picnic,wear,we're
72,The pie is delicious,pi,pie
73,I bought a new pair of shoes,bought,pair
74,I can't bear to see you cry,bare,bear
75,The sun is very bright,son,sun
76,She wore a crown on her head,worn,crown
77,The knight defended the castle,night,knight
